table with row headers in column B and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,
"Cumulative Estimates of Resident Population Change for Incorporated Places of 50,000 or More in 2020, Ranked by Percent Change: April 1, 2020 to July 1, 2022",,,,,
Rank,Geographic Area,Population Estimate,,"Change, 2020 to 2022",
100,"Richland city, Washington","60,568","62,821","2,253",3.7
101,"Clovis city, California","120,160","124,556","4,396",3.7
102,"New Haven city, Connecticut","134,024","138,915","4,891",3.6
103,"Bowling Green city, Kentucky","72,298","74,926","2,628",3.6
104,"Peoria city, Arizona","190,966","197,866","6,900",3.6
105,"Logan city, Utah","52,783","54,680","1,897",3.6
106,"Port Orange city, Florida","62,622","64,870","2,248",3.6
107,"Reno city, Nevada","264,147","273,448","9,301",3.5
108,"Tampa city, Florida","384,661","398,173","13,512",3.5
109,"Folsom city, California","80,463","83,269","2,806",3.5
110,"Burlington city, North Carolina","57,306","59,287","1,981",3.5
111,"Sanford city, Florida","61,082","63,154","2,072",3.4
112,"Flower Mound town, Texas","75,965","78,486","2,521",3.3
113,"North Charleston city, South Carolina","114,839","118,608","3,769",3.3
114,"Idaho Falls city, Idaho","65,586","67,723","2,137",3.3
115,"Cary town, North Carolina","174,763","180,388","5,625",3.2
116,"Stonecrest city, Georgia","59,190","61,087","1,897",3.2
117,"New Rochelle city, New York","79,734","82,288","2,554",3.2
118,"Indio city, California","89,126","91,980","2,854",3.2
119,"Huntsville city, Alabama","215,052","221,933","6,881",3.2
120,"Rocklin city, California","71,598","73,857","2,259",3.2
121,"College Station city, Texas","120,523","124,319","3,796",3.1
122,"Lake Havasu City city, Arizona","57,134","58,926","1,792",3.1
123,"Southaven city, Mississippi","54,647","56,360","1,713",3.1
124,"Tyler city, Texas","105,984","109,286","3,302",3.1
125,"West Palm Beach city, Florida","117,315","120,932","3,617",3.1
126,"Olathe city, Kansas","141,283","145,616","4,333",3.1
127,"Missouri City city, Texas","74,248","76,500","2,252",3.0
128,"Tempe city, Arizona","180,576","185,950","5,374",3.0
129,"Ocala city, Florida","63,587","65,478","1,891",3.0
130,"Fishers city, Indiana","99,027","101,966","2,939",3.0
131,"Durham city, North Carolina","283,588","291,928","8,340",2.9
132,"West Des Moines city, Iowa","68,726","70,741","2,015",2.9
133,"Gainesville city, Florida","141,079","145,214","4,135",2.9
134,"San Jacinto city, California","53,894","55,470","1,576",2.9
135,"Grand Prairie city, Texas","196,138","201,843","5,705",2.9
136,"South Fulton city, Georgia","108,064","111,158","3,094",2.9
137,"Brentwood city, California","64,290","66,127","1,837",2.9
138,"Pasco city, Washington","77,119","79,315","2,196",2.8
139,"Tallahassee city, Florida","196,171","201,731","5,560",2.8
140,"Shawnee city, Kansas","67,310","69,198","1,888",2.8
141,"Gastonia city, North Carolina","80,412","82,653","2,241",2.8
142,"Gilbert town, Arizona","267,932","275,346","7,414",2.8
143,"Waco city, Texas","140,119","143,984","3,865",2.8
144,"Madera city, California","66,229","68,050","1,821",2.7
145,"Orlando city, Florida","307,683","316,081","8,398",2.7
146,"Broomfield city, Colorado","74,105","76,121","2,016",2.7
