table with row headers in column B and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,
"Cumulative Estimates of Resident Population Change for Incorporated Places of 50,000 or More in 2020, Ranked by Percent Change: April 1, 2020 to July 1, 2022",,,,,
Rank,Geographic Area,Population Estimate,,"Change, 2020 to 2022",
424,"Denver city, Colorado","715,538","713,252","-2,286",-0.3
425,"Fall River city, Massachusetts","93,984","93,682",-302,-0.3
426,"Sioux City city, Iowa","85,781","85,497",-284,-0.3
427,"Fort Collins city, Colorado","169,827","169,249",-578,-0.3
428,"Wichita city, Kansas","397,547","396,192","-1,355",-0.3
429,"Medford city, Oregon","85,858","85,556",-302,-0.4
430,"Mishawaka city, Indiana","51,095","50,913",-182,-0.4
431,"Dallas city, Texas","1,304,317","1,299,544","-4,773",-0.4
432,"Lynn city, Massachusetts","101,263","100,891",-372,-0.4
433,"Pueblo city, Colorado","111,874","111,456",-418,-0.4
434,"White Plains city, New York","59,553","59,316",-237,-0.4
435,"New Bedford city, Massachusetts","101,089","100,682",-407,-0.4
436,"San Diego city, California","1,386,960","1,381,162","-5,798",-0.4
437,"Kentwood city, Michigan","54,309","54,077",-232,-0.4
438,"San Ramon city, California","86,332","85,953",-379,-0.4
439,"Manchester city, New Hampshire","115,653","115,141",-512,-0.4
440,"Fairfield city, California","119,872","119,338",-534,-0.4
441,"Vacaville city, California","102,386","101,918",-468,-0.5
442,"Beaverton city, Oregon","97,503","97,053",-450,-0.5
443,"Vineland city, New Jersey","60,780","60,491",-289,-0.5
444,"Rialto city, California","104,048","103,545",-503,-0.5
445,"Rochester Hills city, Michigan","76,308","75,936",-372,-0.5
446,"Carlsbad city, California","114,735","114,160",-575,-0.5
447,"Manhattan city, Kansas","54,103","53,829",-274,-0.5
448,"Highland city, California","56,996","56,705",-291,-0.5
449,"Corpus Christi city, Texas","317,863","316,239","-1,624",-0.5
450,"Turlock city, California","72,692","72,309",-383,-0.5
451,"Santa Rosa city, California","178,128","177,181",-947,-0.5
452,"Escondido city, California","151,074","150,270",-804,-0.5
453,"Richardson city, Texas","119,464","118,802",-662,-0.6
454,"Valdosta city, Georgia","55,387","55,074",-313,-0.6
455,"Draper city, Utah","51,024","50,731",-293,-0.6
456,"Worcester city, Massachusetts","206,519","205,319","-1,200",-0.6
457,"Rocky Mount city, North Carolina","54,334","54,013",-321,-0.6
458,"Ogden city, Utah","87,343","86,825",-518,-0.6
459,"Burnsville city, Minnesota","64,324","63,936",-388,-0.6
460,"Allentown city, Pennsylvania","125,858","125,094",-764,-0.6
461,"Chino Hills city, California","78,426","77,949",-477,-0.6
462,"Council Bluffs city, Iowa","62,792","62,405",-387,-0.6
463,"Cranston city, Rhode Island","82,936","82,421",-515,-0.6
464,"Albuquerque city, New Mexico","564,581","561,008","-3,573",-0.6
465,"Scranton city, Pennsylvania","76,336","75,848",-488,-0.6
466,"Weston city, Florida","68,113","67,677",-436,-0.6
467,"Camarillo city, California","70,740","70,282",-458,-0.6
468,"Buffalo city, New York","278,301","276,486","-1,815",-0.7
469,"Vista city, California","98,414","97,766",-648,-0.7
470,"Anaheim city, California","346,825","344,461","-2,364",-0.7
471,"Lexington-Fayette urban county, Kentucky","322,567","320,347","-2,220",-0.7
472,"Hamilton city, Ohio","63,386","62,937",-449,-0.7
473,"Springfield city, Oregon","61,843","61,400",-443,-0.7
474,"Providence city, Rhode Island","190,932","189,563","-1,369",-0.7
475,"Pawtucket city, Rhode Island","75,612","75,066",-546,-0.7
476,"Dublin city, California","72,588","72,060",-528,-0.7
477,"Santa Clara city, California","127,861","126,930",-931,-0.7
478,"Macon-Bibb County, Georgia","157,347","156,197","-1,150",-0.7
479,"Redding city, California","93,609","92,906",-703,-0.8
480,"Santa Ana city, California","310,555","308,189","-2,366",-0.8
481,"Pembroke Pines city, Florida","171,182","169,876","-1,306",-0.8
482,"Coral Springs city, Florida","134,396","133,369","-1,027",-0.8
483,"Irving city, Texas","256,687","254,715","-1,972",-0.8
484,"Midwest City city, Oklahoma","58,406","57,950",-456,-0.8
485,"San Bernardino city, California","222,068","220,328","-1,740",-0.8
486,"Brockton city, Massachusetts","105,654","104,826",-828,-0.8
487,"San Angelo city, Texas","99,904","99,112",-792,-0.8
488,"Indianapolis city (balance), Indiana","887,661","880,621","-7,040",-0.8
489,"Pensacola city, Florida","54,310","53,876",-434,-0.8
490,"Cheyenne city, Wyoming","65,131","64,610",-521,-0.8
491,"Port Arthur city, Texas","56,030","55,579",-451,-0.8
492,"Grand Forks city, North Dakota","59,170","58,692",-478,-0.8
493,"Oxnard city, California","202,067","200,415","-1,652",-0.8
494,"Coconut Creek city, Florida","57,828","57,348",-480,-0.8
495,"Margate city, Florida","58,700","58,209",-491,-0.8
496,"Virginia Beach city, Virginia","459,471","455,618","-3,853",-0.8
497,"Nashville-Davidson metropolitan government (balance), Tennessee","689,454","683,622","-5,832",-0.8
498,"Asheville city, North Carolina","94,581","93,776",-805,-0.9
499,"Carson City, Nevada","58,644","58,130",-514,-0.9
500,"Portsmouth city, Virginia","97,915","97,029",-886,-0.9
501,"Cuyahoga Falls city, Ohio","51,120","50,655",-465,-0.9
502,"Topeka city, Kansas","126,601","125,449","-1,152",-0.9
503,"Haverhill city, Massachusetts","67,774","67,153",-621,-0.9
504,"Casper city, Wyoming","59,090","58,543",-547,-0.9
505,"Springfield city, Ohio","58,651","58,106",-545,-0.9
506,"Rochester city, New York","211,321","209,352","-1,969",-0.9
507,"Cedar Rapids city, Iowa","137,723","136,429","-1,294",-0.9
508,"Laguna Niguel city, California","64,347","63,742",-605,-0.9
509,"Gulfport city, Mississippi","72,923","72,236",-687,-0.9
510,"Kalamazoo city, Michigan","73,570","72,873",-697,-0.9
511,"Meriden city, Connecticut","60,830","60,242",-588,-1.0
512,"Waukesha city, Wisconsin","71,162","70,454",-708,-1.0
513,"Springfield city, Illinois","114,414","113,273","-1,141",-1.0
514,"Grand Rapids city, Michigan","198,893","196,908","-1,985",-1.0
515,"Akron city, Ohio","190,416","188,509","-1,907",-1.0
516,"Troy city, New York","51,414","50,895",-519,-1.0
517,"Gaithersburg city, Maryland","69,656","68,952",-704,-1.0
518,"Encinitas city, California","62,002","61,369",-633,-1.0
519,"Miami Gardens city, Florida","111,644","110,497","-1,147",-1.0
520,"Lancaster city, Pennsylvania","58,051","57,453",-598,-1.0
521,"Sunrise city, Florida","97,309","96,306","-1,003",-1.0
522,"West Haven city, Connecticut","55,581","55,004",-577,-1.0
523,"Newport News city, Virginia","186,243","184,306","-1,937",-1.0
524,"Chicopee city, Massachusetts","55,562","54,980",-582,-1.0
525,"Oceanside city, California","174,048","172,199","-1,849",-1.1
526,"Camden city, New Jersey","71,777","70,996",-781,-1.1
527,"San Buenaventura (Ventura) city, California","110,736","109,527","-1,209",-1.1
528,"Peabody city, Massachusetts","54,492","53,896",-596,-1.1
529,"National City city, California","56,172","55,550",-622,-1.1
530,"Battle Creek city, Michigan","52,709","52,123",-586,-1.1
531,"Delano city, California","51,420","50,843",-577,-1.1
532,"Waterloo city, Iowa","67,320","66,562",-758,-1.1
533,"Lauderhill city, Florida","74,479","73,633",-846,-1.1
534,"Galveston city, Texas","53,699","53,089",-610,-1.1
535,"Minneapolis city, Minnesota","429,985","425,096","-4,889",-1.1
536,"Grand Island city, Nebraska","53,130","52,513",-617,-1.2
537,"Green Bay city, Wisconsin","107,363","106,095","-1,268",-1.2
538,"Napa city, California","79,251","78,315",-936,-1.2
539,"Springfield city, Massachusetts","155,931","154,064","-1,867",-1.2
540,"Royal Oak city, Michigan","58,202","57,495",-707,-1.2
541,"Dayton city, Ohio","137,624","135,944","-1,680",-1.2
542,"Davenport city, Iowa","101,728","100,486","-1,242",-1.2
543,"Flagstaff city, Arizona","76,847","75,907",-940,-1.2
544,"La Mesa city, California","61,119","60,360",-759,-1.2
545,"Harrisonburg city, Virginia","51,810","51,158",-652,-1.3
546,"Hialeah city, Florida","223,123","220,292","-2,831",-1.3
547,"Oshkosh city, Wisconsin","66,802","65,948",-854,-1.3
548,"Louisville/Jefferson County metro government (balance), Kentucky","632,550","624,444","-8,106",-1.3
549,"San Clemente city, California","64,282","63,457",-825,-1.3
550,"Santa Barbara city, California","88,676","87,533","-1,143",-1.3
551,"Citrus Heights city, California","87,575","86,433","-1,142",-1.3
552,"Rockford city, Illinois","148,662","146,713","-1,949",-1.3
553,"Evansville city, Indiana","117,291","115,749","-1,542",-1.3
554,"Sterling Heights city, Michigan","134,334","132,567","-1,767",-1.3
555,"Coon Rapids city, Minnesota","63,624","62,785",-839,-1.3
556,"Trenton city, New Jersey","90,860","89,661","-1,199",-1.3
557,"Dubuque city, Iowa","59,669","58,873",-796,-1.3
558,"Millcreek city, Utah","63,890","63,034",-856,-1.3
559,"Omaha city, Nebraska","491,743","485,153","-6,590",-1.3
560,"Lawrence city, Massachusetts","89,153","87,954","-1,199",-1.3
561,"Odessa city, Texas","114,452","112,906","-1,546",-1.4
562,"Anchorage municipality, Alaska","291,244","287,145","-4,099",-1.4
563,"Euless city, Texas","61,028","60,169",-859,-1.4
564,"Erie city, Pennsylvania","94,849","93,511","-1,338",-1.4
565,"Elgin city, Illinois","114,798","113,177","-1,621",-1.4
566,"Hempstead village, New York","59,170","58,331",-839,-1.4
567,"Baytown city, Texas","85,541","84,324","-1,217",-1.4
568,"Provo city, Utah","115,173","113,523","-1,650",-1.4
569,"Des Moines city, Iowa","214,125","211,034","-3,091",-1.4
570,"Kettering city, Ohio","57,868","57,027",-841,-1.5
571,"Newport Beach city, California","85,235","83,993","-1,242",-1.5
572,"Sugar Land city, Texas","111,032","109,414","-1,618",-1.5
573,"Independence city, Missouri","123,004","121,202","-1,802",-1.5
574,"Aurora city, Illinois","180,526","177,866","-2,660",-1.5
575,"Chico city, California","102,816","101,299","-1,517",-1.5
576,"Kenosha city, Wisconsin","99,979","98,484","-1,495",-1.5
577,"Waukegan city, Illinois","89,313","87,976","-1,337",-1.5
578,"Farmington Hills city, Michigan","84,004","82,737","-1,267",-1.5
579,"Youngstown city, Ohio","60,056","59,144",-912,-1.5
580,"Southfield city, Michigan","76,604","75,431","-1,173",-1.5
581,"Westminster city, Colorado","116,315","114,533","-1,782",-1.5
582,"Salinas city, California","163,542","161,020","-2,522",-1.5
583,"Appleton city, Wisconsin","75,681","74,511","-1,170",-1.5
584,"Mesquite city, Texas","150,227","147,899","-2,328",-1.5
585,"Enid city, Oklahoma","51,294","50,499",-795,-1.5
586,"Simi Valley city, California","126,373","124,398","-1,975",-1.6
587,"Somerville city, Massachusetts","81,031","79,762","-1,269",-1.6
588,"Yuba City city, California","70,118","69,014","-1,104",-1.6
589,"Garden Grove city, California","171,973","169,254","-2,719",-1.6
590,"Westland city, Michigan","85,407","84,037","-1,370",-1.6
591,"Gary city, Indiana","69,086","67,972","-1,114",-1.6
592,"Kent city, Washington","136,609","134,392","-2,217",-1.6
593,"Walnut Creek city, California","70,112","68,969","-1,143",-1.6
594,"Lakewood city, Washington","63,609","62,572","-1,037",-1.6
595,"Sunnyvale city, California","155,629","153,091","-2,538",-1.6
596,"Yonkers city, New York","211,585","208,121","-3,464",-1.6
597,"Warren city, Michigan","139,398","137,107","-2,291",-1.6
598,"Hammond city, Indiana","77,855","76,575","-1,280",-1.6
599,"Canton city, Ohio","70,836","69,671","-1,165",-1.6
600,"Santee city, California","60,047","59,051",-996,-1.7
601,"Memphis city, Tennessee","631,539","621,056","-10,483",-1.7
602,"El Cajon city, California","106,183","104,414","-1,769",-1.7
603,"Westminster city, California","90,915","89,397","-1,518",-1.7
604,"Lowell city, Massachusetts","115,550","113,608","-1,942",-1.7
605,"East Orange city, New Jersey","69,620","68,446","-1,174",-1.7
606,"Apple Valley city, Minnesota","56,367","55,416",-951,-1.7
607,"Toledo city, Ohio","270,880","266,301","-4,579",-1.7
608,"Bartlett city, Tennessee","57,789","56,798",-991,-1.7
609,"Newton city, Massachusetts","88,918","87,381","-1,537",-1.7
610,"Downers Grove village, Illinois","50,225","49,354",-871,-1.7
611,"Wheaton city, Illinois","53,920","52,984",-936,-1.7
612,"Flint city, Michigan","81,268","79,854","-1,414",-1.7
613,"West New York town, New Jersey","52,906","51,981",-925,-1.7
614,"Waltham city, Massachusetts","65,213","64,065","-1,148",-1.8
615,"Racine city, Wisconsin","77,841","76,462","-1,379",-1.8
616,"Clifton city, New Jersey","90,309","88,709","-1,600",-1.8
617,"Mountain View city, California","82,534","81,059","-1,475",-1.8
618,"Taylor city, Michigan","63,392","62,258","-1,134",-1.8
619,"Montgomery city, Alabama","200,586","196,986","-3,600",-1.8
620,"Cypress city, California","50,144","49,243",-901,-1.8
621,"Yorba Linda city, California","68,318","67,089","-1,229",-1.8
622,"La Habra city, California","63,118","61,978","-1,140",-1.8
623,"Aliso Viejo city, California","52,173","51,221",-952,-1.8
624,"Livonia city, Michigan","95,526","93,779","-1,747",-1.8
625,"Richmond city, California","116,432","114,301","-2,131",-1.8
626,"Utica city, New York","65,287","64,081","-1,206",-1.8
627,"Santa Cruz city, California","62,968","61,800","-1,168",-1.9
628,"Birmingham city, Alabama","200,646","196,910","-3,736",-1.9
629,"Buena Park city, California","84,016","82,450","-1,566",-1.9
630,"Bellevue city, Nebraska","64,215","63,015","-1,200",-1.9
631,"Petaluma city, California","59,778","58,652","-1,126",-1.9
632,"Peoria city, Illinois","113,176","111,021","-2,155",-1.9
633,"Novato city, California","53,206","52,184","-1,022",-1.9
634,"St. Clair Shores city, Michigan","58,874","57,742","-1,132",-1.9
635,"Eagan city, Minnesota","68,861","67,534","-1,327",-1.9
636,"Tustin city, California","79,967","78,418","-1,549",-1.9
637,"Paterson city, New Jersey","159,759","156,661","-3,098",-1.9
638,"South Gate city, California","92,727","90,926","-1,801",-1.9
639,"Florissant city, Missouri","52,532","51,506","-1,026",-2.0
640,"Framingham city, Massachusetts","72,381","70,963","-1,418",-2.0
641,"Bowie city, Maryland","58,335","57,192","-1,143",-2.0
642,"Los Angeles city, California","3,898,767","3,822,238","-76,529",-2.0
643,"Edina city, Minnesota","53,487","52,437","-1,050",-2.0
644,"Fountain Valley city, California","57,054","55,930","-1,124",-2.0
645,"Mission Viejo city, California","93,639","91,776","-1,863",-2.0
646,"Newark city, New Jersey","311,552","305,344","-6,208",-2.0
647,"Passaic city, New Jersey","70,534","69,128","-1,406",-2.0
648,"Vallejo city, California","126,083","123,564","-2,519",-2.0
649,"Mobile city, Alabama","187,048","183,289","-3,759",-2.0
650,"Watsonville city, California","52,595","51,525","-1,070",-2.0
651,"Dearborn city, Michigan","109,961","107,710","-2,251",-2.0
652,"Dearborn Heights city, Michigan","63,291","61,980","-1,311",-2.1
653,"Orland Park village, Illinois","58,730","57,511","-1,219",-2.1
654,"Jersey City city, New Jersey","292,754","286,670","-6,084",-2.1
655,"Columbus city, Georgia","206,922","202,616","-4,306",-2.1
656,"Kansas City city, Kansas","156,606","153,345","-3,261",-2.1
657,"Garland city, Texas","246,001","240,854","-5,147",-2.1
658,"Norfolk city, Virginia","238,001","232,995","-5,006",-2.1
659,"Thousand Oaks city, California","126,968","124,265","-2,703",-2.1
660,"San Rafael city, California","61,277","59,971","-1,306",-2.1
661,"North Miami city, Florida","60,195","58,906","-1,289",-2.1
662,"Costa Mesa city, California","111,926","109,521","-2,405",-2.1
663,"Urban Honolulu CDP, Hawaii","350,966","343,421","-7,545",-2.1
664,"Fullerton city, California","143,638","140,541","-3,097",-2.2
665,"Roanoke city, Virginia","100,015","97,847","-2,168",-2.2
666,"Parma city, Ohio","81,117","79,358","-1,759",-2.2
667,"Elizabeth city, New Jersey","137,310","134,283","-3,027",-2.2
668,"Huntington Beach city, California","198,723","194,310","-4,413",-2.2
669,"Concord city, California","125,411","122,625","-2,786",-2.2
670,"Orem city, Utah","98,133","95,910","-2,223",-2.3
671,"Arvada city, Colorado","124,402","121,581","-2,821",-2.3
672,"Philadelphia city, Pennsylvania","1,603,799","1,567,258","-36,541",-2.3
673,"Oakland city, California","440,660","430,553","-10,107",-2.3
674,"West Allis city, Wisconsin","60,334","58,950","-1,384",-2.3
675,"Gresham city, Oregon","114,255","111,621","-2,634",-2.3
676,"Minnetonka city, Minnesota","53,794","52,544","-1,250",-2.3
677,"Murray city, Utah","50,641","49,463","-1,178",-2.3
678,"Malden city, Massachusetts","66,261","64,712","-1,549",-2.3
679,"St. Louis Park city, Minnesota","50,005","48,827","-1,178",-2.4
680,"Centennial city, Colorado","108,422","105,865","-2,557",-2.4
681,"Sammamish city, Washington","67,458","65,845","-1,613",-2.4
682,"Baton Rouge city, Louisiana","226,916","221,453","-5,463",-2.4
683,"Milwaukee city, Wisconsin","577,225","563,305","-13,920",-2.4
684,"Burien city, Washington","52,065","50,806","-1,259",-2.4
685,"Bloomington city, Minnesota","89,980","87,797","-2,183",-2.4
686,"Alexandria city, Virginia","159,461","155,525","-3,936",-2.5
687,"La Crosse city, Wisconsin","52,682","51,380","-1,302",-2.5
688,"Lancaster city, California","173,511","169,185","-4,326",-2.5
689,"Lakewood city, Ohio","50,929","49,658","-1,271",-2.5
690,"St. Joseph city, Missouri","72,481","70,656","-1,825",-2.5
691,"Decatur city, Illinois","70,901","69,097","-1,804",-2.5
692,"Boulder city, Colorado","108,246","105,485","-2,761",-2.6
693,"West Valley City city, Utah","140,239","136,650","-3,589",-2.6
694,"Gilroy city, California","59,532","58,005","-1,527",-2.6
695,"Washington city, District of Columbia","689,546","671,803","-17,743",-2.6
696,"Renton city, Washington","106,836","104,047","-2,789",-2.6
697,"Orange city, California","139,902","136,178","-3,724",-2.7
698,"Portland city, Oregon","652,518","635,067","-17,451",-2.7
699,"St. Paul city, Minnesota","311,518","303,176","-8,342",-2.7
700,"Eden Prairie city, Minnesota","64,198","62,476","-1,722",-2.7
701,"Auburn city, Washington","87,204","84,858","-2,346",-2.7
702,"Baltimore city, Maryland","585,693","569,931","-15,762",-2.7
703,"Rosemead city, California","51,187","49,791","-1,396",-2.7
704,"Beaumont city, Texas","115,268","112,089","-3,179",-2.8
705,"Pasadena city, Texas","151,897","147,662","-4,235",-2.8
706,"Syracuse city, New York","148,608","144,451","-4,157",-2.8
707,"Alameda city, California","78,282","76,040","-2,242",-2.9
708,"Azusa city, California","50,265","48,824","-1,441",-2.9
709,"Fremont city, California","230,493","223,871","-6,622",-2.9
710,"Plymouth city, Minnesota","81,017","78,683","-2,334",-2.9
711,"Detroit city, Michigan","639,115","620,376","-18,739",-2.9
712,"Cleveland city, Ohio","372,632","361,607","-11,025",-3.0
713,"Chicago city, Illinois","2,746,352","2,665,039","-81,313",-3.0
714,"Mount Vernon city, New York","73,905","71,714","-2,191",-3.0
715,"Bayonne city, New Jersey","71,687","69,527","-2,160",-3.0
716,"Tinley Park village, Illinois","56,001","54,287","-1,714",-3.1
717,"Federal Way city, Washington","101,025","97,863","-3,162",-3.1
718,"Alhambra city, California","82,868","80,259","-2,609",-3.1
719,"Milpitas city, California","80,271","77,738","-2,533",-3.2
720,"Schaumburg village, Illinois","78,713","76,225","-2,488",-3.2
721,"Burbank city, California","107,335","103,920","-3,415",-3.2
722,"Jacksonville city, North Carolina","72,735","70,420","-2,315",-3.2
723,"Arcadia city, California","56,664","54,857","-1,807",-3.2
724,"Santa Clarita city, California","228,679","221,345","-7,334",-3.2
725,"Arlington Heights village, Illinois","77,687","75,195","-2,492",-3.2
726,"Whittier city, California","87,302","84,496","-2,806",-3.2
727,"Ann Arbor city, Michigan","123,872","119,875","-3,997",-3.2
728,"Pasadena city, California","138,719","134,211","-4,508",-3.2
729,"Evanston city, Illinois","78,104","75,544","-2,560",-3.3
730,"Montebello city, California","62,623","60,569","-2,054",-3.3
731,"Carson city, California","95,553","92,388","-3,165",-3.3
732,"Long Beach city, California","466,775","451,307","-15,468",-3.3
733,"Glendora city, California","52,577","50,824","-1,753",-3.3
734,"Santa Monica city, California","93,075","89,947","-3,128",-3.4
735,"Des Plaines city, Illinois","60,673","58,594","-2,079",-3.4
736,"Skokie village, Illinois","67,822","65,497","-2,325",-3.4
737,"Miami Beach city, Florida","82,888","80,017","-2,871",-3.5
738,"Covina city, California","51,275","49,489","-1,786",-3.5
739,"Palmdale city, California","169,415","163,463","-5,952",-3.5
740,"Albany city, Georgia","69,652","67,192","-2,460",-3.5
741,"Mount Prospect village, Illinois","56,852","54,843","-2,009",-3.5
742,"Hoffman Estates village, Illinois","52,545","50,682","-1,863",-3.5
743,"Bellflower city, California","79,216","76,405","-2,811",-3.5
744,"Palatine village, Illinois","67,899","65,485","-2,414",-3.6
745,"Oak Lawn village, Illinois","58,370","56,286","-2,084",-3.6
746,"Gardena city, California","61,022","58,843","-2,179",-3.6
747,"Pomona city, California","151,445","146,017","-5,428",-3.6
748,"Brooklyn Park city, Minnesota","86,462","83,324","-3,138",-3.6
749,"Boston city, Massachusetts","675,632","650,706","-24,926",-3.7
750,"Redondo Beach city, California","71,560","68,918","-2,642",-3.7
751,"Pico Rivera city, California","62,079","59,781","-2,298",-3.7
752,"Kenner city, Louisiana","66,471","64,007","-2,464",-3.7
753,"Livermore city, California","87,965","84,701","-3,264",-3.7
754,"New Orleans city, Louisiana","383,998","369,749","-14,249",-3.7
755,"Oak Park village, Illinois","54,580","52,553","-2,027",-3.7
756,"Glendale city, California","196,534","189,221","-7,313",-3.7
757,"Palo Alto city, California","68,586","66,010","-2,576",-3.8
758,"Baldwin Park city, California","72,176","69,455","-2,721",-3.8
759,"El Monte city, California","109,447","105,312","-4,135",-3.8
760,"Hayward city, California","162,948","156,754","-6,194",-3.8
761,"Inglewood city, California","107,759","103,621","-4,138",-3.8
762,"Berwyn city, Illinois","57,234","55,021","-2,213",-3.9
763,"Downey city, California","114,358","109,934","-4,424",-3.9
764,"Compton city, California","95,712","91,988","-3,724",-3.9
765,"Paramount city, California","53,748","51,653","-2,095",-3.9
766,"Hoboken city, New Jersey","60,057","57,703","-2,354",-3.9
767,"Cicero town, Illinois","85,268","81,919","-3,349",-3.9
768,"South San Francisco city, California","66,097","63,484","-2,613",-4.0
769,"Shreveport city, Louisiana","187,587","180,153","-7,434",-4.0
770,"Pleasanton city, California","79,856","76,689","-3,167",-4.0
771,"Hawthorne city, California","88,077","84,563","-3,514",-4.0
772,"Diamond Bar city, California","55,070","52,855","-2,215",-4.0
773,"Torrance city, California","147,071","141,126","-5,945",-4.0
774,"West Covina city, California","109,501","105,013","-4,488",-4.1
775,"Huntington Park city, California","54,883","52,633","-2,250",-4.1
776,"Norwalk city, California","102,762","98,537","-4,225",-4.1
777,"San Jose city, California","1,013,221","971,233","-41,988",-4.1
778,"Cupertino city, California","60,363","57,856","-2,507",-4.2
779,"Lakewood city, California","82,497","79,063","-3,434",-4.2
780,"Monterey Park city, California","61,109","58,554","-2,555",-4.2
781,"Taylorsville city, Utah","60,435","57,879","-2,556",-4.2
782,"Berkeley city, California","124,324","118,950","-5,374",-4.3
783,"Sandy city, Utah","97,253","93,022","-4,231",-4.4
784,"Union City city, California","70,140","67,039","-3,101",-4.4
785,"San Mateo city, California","105,665","100,984","-4,681",-4.4
786,"Redwood City city, California","84,303","80,512","-3,791",-4.5
787,"San Leandro city, California","90,998","86,762","-4,236",-4.7
788,"Lynwood city, California","67,256","64,086","-3,170",-4.7
789,"Daly City city, California","104,973","100,007","-4,966",-4.7
790,"Union City city, New Jersey","68,631","65,366","-3,265",-4.8
791,"St. Louis city, Missouri","301,574","286,578","-14,996",-5.0
792,"Jackson city, Mississippi","153,705","145,995","-7,710",-5.0
793,"New York city, New York","8,804,194","8,335,897","-468,297",-5.3
794,"Revere city, Massachusetts","62,204","58,528","-3,676",-5.9
795,"Lake Charles city, Louisiana","84,936","79,113","-5,823",-6.9
796,"San Francisco city, California","873,959","808,437","-65,522",-7.5
Dash (-) represents zero or rounds to zero.,,,,,
"Note: The estimates are based on the 2020 Census and reflect changes to the April 1, 2020 population due to the Count Question Resolution program, geographic program revisions, and the application of disclosure avoidance to protect confidentiality. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. All geographic boundaries for the 2022 population estimates series are as of January 1, 2022. For updates on Legal Boundary Change/Annexation Data, see https://www.census.gov/geographies/reference-files/time-series/geo/bas/annex.html. Additional information on these localities can be found in the Geographic Boundary Change Notes (see https://www.census.gov/programs-surveys/geography/technical-documentation/boundary-change-notes.html). ",,,,,
Suggested Citation:,,,,,
"Cumulative Estimates of Resident Population Change for Incorporated Places of 50,000 or More in 2020, Ranked by Percent Change:
April 1, 2020 to July 1, 2022 (SUB-IP-EST2022-CUMCHG)",,,,,
"Source: U.S. Census Bureau, Population Division",,,,,
Release Date: May 2023,,,,,
